Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Price,Quantity,Payment_Status,Return_Date,Refund_Amount,Status,Ticket_ID,category,sentiment,urgency,issue_target,top_theme,Date_Logged,complaint_count,Week
100001,2023-11-15,C0001,Accessories,Phone Case,12.48,2,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100002,2023-11-15,C0002,Electronics,Tablet A,488.25,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100003,2023-11-15,C0059,Electronics,Laptop X,1446.04,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100004,2023-11-15,C0019,Accessories,Phone Case,36.72,1,Paid,2023-11-21,36.72,Processed,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100005,2023-11-15,C0003,Electronics,Tablet A,553.75,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100006,2023-11-15,C0065,Electronics,Tablet A,728.62,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100007,2023-11-15,C0003,Accessories,Phone Case,28.53,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100008,2023-11-15,C0001,Accessories,Charger,36.45,3,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100009,2023-11-15,C0001,Electronics,NoiseCancel Headphones,250.52,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100010,2023-11-15,C0001,Accessories,Charger,32.57,3,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100011,2023-11-15,C0002,Electronics,Laptop X,1491.63,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100012,2023-11-15,C0005,Electronics,Laptop X,1546.0,2,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100013,2023-11-15,C0261,Accessories,Laptop Sleeve,31.19,2,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100014,2023-11-15,C0115,Accessories,Charger,19.07,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100015,2023-11-15,C0013,Accessories,Laptop Sleeve,28.15,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100016,2023-11-15,C0023,Electronics,TV Pro,1449.46,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100017,2023-11-15,C0003,Accessories,Charger,26.91,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100018,2023-11-15,C0009,Accessories,Wireless Mouse,57.97,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100019,2023-11-15,C0034,Smart Home,NordLock Pro,181.24,2,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100020,2023-11-15,C0001,Electronics,Laptop X,1514.22,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100021,2023-11-15,C0006,Smart Home,NordTherm,138.07,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100022,2023-11-16,C0003,Electronics,NoiseCancel Headphones,176.57,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100023,2023-11-16,C0016,Accessories,Accessory Bundle,30.78,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100024,2023-11-16,C0002,Accessories,Charger,25.01,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100025,2023-11-16,C0001,Electronics,TV Pro,929.16,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100026,2023-11-16,C0091,Electronics,NoiseCancel Headphones,192.39,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100027,2023-11-16,C0004,Electronics,NoiseCancel Headphones,170.89,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100028,2023-11-16,C0253,Accessories,Laptop Sleeve,29.42,1,Paid,,0.0,,T000310,Battery,Negative,High,Product,Battery drains quickly,2023-12-20,1,2023-11-13
100029,2023-11-16,C0011,Accessories,Screen Protector,8.6,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100030,2023-11-16,C0027,Accessories,USB-C Cable,6.6,2,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100031,2023-11-16,C0001,Accessories,Charger,44.8,1,Failed,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100032,2023-11-16,C0094,Electronics,Laptop X,1458.25,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100033,2023-11-16,C0007,Electronics,Tablet A,615.0,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100034,2023-11-16,C0001,Accessories,Accessory Bundle,31.48,2,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
100035,2023-11-16,C0103,Electronics,Laptop X,1462.0,1,Paid,,0.0,,,No complaints,Neutral,Low,None,No issues,,0,2023-11-13
